State,Annual Salary
Washington,"$93,598 "
New York,"$90,411 "
Massachusetts,"$90,253 "
Alaska,"$88,999 "
Vermont,"$87,867 "
North Dakota,"$87,440 "
Oregon,"$87,374 "
Colorado,"$86,898 "
Hawaii,"$85,860 "
Nevada,"$84,153 "
New Jersey,"$83,899 "
Wisconsin,"$83,413 "
Pennsylvania,"$82,839 "
Delaware,"$82,711 "
South Dakota,"$82,640 "
Virginia,"$81,931 "
California,"$81,558 "
Minnesota,"$80,939 "
Rhode Island,"$80,930 "
New Hampshire,"$80,368 "
Maryland,"$80,206 "
New Mexico,"$80,084 "
Illinois,"$80,080 "
Maine,"$80,012 "
Wyoming,"$79,435 "
Nebraska,"$78,793 "
Indiana,"$78,637 "
Connecticut,"$78,614 "
Ohio,"$78,566 "
Mississippi,"$78,266 "
Idaho,"$77,756 "
Iowa,"$77,621 "
Missouri,"$77,517 "
Arizona,"$77,011 "
Texas,"$76,992 "
South Carolina,"$76,686 "
Oklahoma,"$76,304 "
Montana,"$75,851 "
Utah,"$75,233 "
North Carolina,"$75,103 "
Tennessee,"$75,006 "
Alabama,"$74,904 "
Kansas,"$73,702 "
Michigan,"$72,029 "
Kentucky,"$71,775 "
Louisiana,"$70,668 "
Georgia,"$69,780 "
Arkansas,"$68,335 "
West Virginia,"$63,977 "
Florida,"$61,756 "
,
