,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
RegionName,California,Texas,Florida,New York,Pennsylvania,Illinois,Ohio,Georgia,North Carolina,Michigan,New Jersey,Virginia,Washington,Arizona,Massachusetts,Tennessee,Indiana,Maryland,Missouri,Wisconsin,Colorado,Minnesota,South Carolina,Alabama,Louisiana,Kentucky,Oregon,Oklahoma,Connecticut,Utah,Iowa,Nevada,Arkansas,Mississippi,Kansas,New Mexico,Nebraska,Idaho,West Virginia,Hawaii,New Hampshire,Maine,Rhode Island,Montana,Delaware,South Dakota,North Dakota,Alaska,District of Columbia,Vermont,Wyoming
1/31/2000,99122.21606648402,60185.00552179528,54923.28106647164,71052.16834379462,50469.93843591939,63288.94318583386,51477.06529295156,61089.84310650894,65756.51636830733,58562.89358278669,97455.73684346303,67037.04177,105938.59810935112,77026.07912364675,119322.26063251922,58816.64330501646,49099.43707285943,84817.12935432723,48611.10399176983,65490.35046446475,105435.39254217048,67137.08207453719,58608.43791896492,50225.88821455039,50293.52718917599,39195.29328582312,93814.19164365076,39328.692863408825,95946.83906539914,106968.01039214124,43917.4654059333,92127.24122814916,45242.21197046909,41555.960464708885,43831.23394651618,,53776.17516000566,73156.62479738334,28100.63223917204,105351.77647185432,77869.62663857949,60133.66515519061,82567.83123296592,,83403.64571133537,52838.75643326519,,86389.33322509007,87247.17809,67993.58906423635,
2/29/2000,99408.60798017334,60209.376137298124,55039.93128787186,71277.82720599545,50567.91997944069,63327.10700889125,51505.75720433927,61214.76904149605,65857.81772913845,58590.53393,97707.24893819336,67197.80384341985,106118.54828954033,77166.51071521963,119668.29244243032,58861.25403796972,49053.68927418806,84828.73042352997,48644.96698676095,65484.20949229768,105777.61587267686,67387.09244109548,58741.37825620327,50320.980165877394,50360.16584908814,39211.28518604895,93988.02076,39348.85110103948,96347.53990597028,107005.72786440974,44003.62671,92140.15973250776,45301.95597369753,41521.70339282355,43816.875507521705,,53849.243876292574,73098.63291,28103.006434617084,105276.27128832888,78143.70089896367,60339.255683455325,82967.96940253793,,83540.53859008412,52747.1774569632,,86343.59377406484,87524.46869358135,68089.56620353306,
3/31/2000,99799.31020709296,60212.302191664814,55185.43466615162,71502.89832882273,50660.69386570266,63442.299995337984,51560.65794261609,61367.61041643071,65957.49797295475,58716.49805340512,97938.05497506689,67375.24890625845,106321.78304415122,77354.14541472628,120103.38903485944,58916.549918461445,48983.92400395407,84903.67029022695,48718.97554013145,65548.38686383278,106151.19710475692,67623.43031452653,58866.07360987668,50395.15027331736,50434.09097998095,39250.31168563423,94154.03695816667,39425.62902390055,96770.67250945757,107108.19121716084,44098.43744214468,92288.66109,45363.98290163378,41519.23977820276,43839.74388440943,,53933.31378201206,73126.70113396888,28124.43076402621,105409.83865758132,78467.63124347421,60524.62997013773,83376.18487,,83702.49444,52567.95393179447,,86404.58411083942,87935.46057608355,68248.73133020638,
4/30/2000,100658.46162712324,60270.93016,55486.13533466708,71991.74780144809,50860.36146848773,63688.54958887507,51714.50331816953,61692.94151925584,66185.79177,58966.22112815836,98462.45437,67716.32361067925,106723.40872580082,77739.67888696813,120969.2905,59044.18156017668,48828.32529312756,85075.04187095341,48897.10979200647,65652.72212531247,107013.8153106814,68173.30749,59152.28042540872,50557.18461387518,50593.70052350633,39341.75951502198,94520.35239,39570.28435517834,97496.27866547804,107351.31685544674,44288.64143322097,92641.50700730302,45507.42531020602,41519.22604990757,43881.03719094469,,54165.75747824892,73191.76679301095,28171.787796998356,105634.41840483126,79006.55257298546,60915.252308703726,84202.04873,,84101.54429221466,52397.34102518106,,86417.05874679015,88819.79649450455,68584.54163950135,
5/31/2000,101665.95627023368,60302.05273083199,55820.57954083422,72522.03358968561,51085.03214889302,63985.49447,51953.97179378997,62061.13253998066,66449.78117138143,59345.676219915294,98982.84001343414,68041.77065,107146.12509408884,78179.87853067742,121901.1543974447,59200.19680743194,48753.424388193605,85378.57137873529,49137.46218743704,65852.69967978484,107994.1334174924,68780.87337404177,59425.26957444451,50744.08378,50792.75104775723,39472.06552892157,94886.2175984996,39769.40132230057,98105.39571008227,108208.57352453689,44497.67973229613,93093.21943281344,45654.475917938726,41672.42623481911,43951.13239956886,,54413.05888074202,73399.64624865512,28252.38562458979,106149.95482988424,79603.78705461927,61278.222620666726,85029.51617741688,,84570.90242880544,52314.984842529775,,86588.51778855648,89810.70726077781,68967.41122440301,
6/30/2000,102758.52260280028,60346.30665105919,56156.69497361992,73103.79355897046,51323.730301128766,64324.33405094455,52243.48434,62452.62022450902,66754.43073157685,59773.75914450021,99594.13802,68354.58225563116,107549.23600870256,78586.82367605141,122853.35910123342,59365.191147411824,48787.10126791882,85740.35876405919,49417.39556502013,66109.77151115809,109073.33289272488,69481.45007494274,59713.63782274156,50967.331334035815,51016.64038797619,39624.42642217487,95248.63343821598,39966.267204339725,98712.51877363496,109171.53262525745,44697.08856679368,93507.62101096504,45799.903671698965,41931.49764300591,44045.18407,,54630.53692998937,73644.01332573965,28363.32438,106729.0104599166,80240.30155118673,61667.12839652723,85663.97275676327,,85111.58241780406,52356.81782840376,,86772.43675,90831.50605640412,69326.15821228051,
7/31/2000,103923.30153254911,60383.19710747102,56490.401880859245,73611.23176188815,51581.72273711043,64710.39042587937,52536.043459094704,62853.34820777436,67064.34862831591,60264.95293575717,100261.44366349751,68720.12822668992,108006.73437361198,79000.04244838966,123938.92213681572,59556.33227196264,48959.35597074297,86167.71801424418,49712.59327637791,66450.97769821208,110174.70016711707,70256.11989326702,59995.607142489454,51182.40752183843,51251.22425208728,39807.345260586735,95570.90492,40176.084607589866,99368.78247365204,110149.7365,44902.4943772464,93832.15070378644,45935.19887279251,42214.76761729106,44175.22491488935,,54785.12600193908,73908.12163771159,28502.03101538534,107306.6187345847,81042.6153,62081.25655876265,86248.52845632132,,85623.51396315552,52307.41986163622,,87114.66675349206,91820.52603,69662.31652750655,
8/31/2000,105178.19631160998,60497.35926175286,56829.070195691405,74032.69013113204,51820.29079623111,65282.21975416879,52822.25154442777,63276.559576675696,67370.12352487269,60754.88295463402,101080.47570521769,69152.57595072991,108496.23051308237,79412.11077,125315.1802568267,59763.93195433379,49173.96440387346,86584.05109754413,50045.866204589176,66849.60022854367,111360.79847293384,71293.09338136192,60331.60114872992,51371.307014837184,51474.73497395952,40010.62003730705,95913.98684668924,40368.48528471743,100145.41320889028,110621.1071962787,45089.04821757293,94154.33947625864,46098.36238,42459.16441,44333.17585,,54927.059339978245,74170.40231165894,28677.080338825745,107976.0744034787,81930.77280610266,62539.395879094045,86844.72053676446,,86103.73582574072,52189.64222315864,,87359.70828454687,92706.5703002706,70009.68795534798,
9/30/2000,106476.14833751303,60639.47858322179,57187.39932389616,74392.30836,52069.956335857634,65934.97293003119,53105.57504514806,63709.97690877663,67667.48351016727,61229.920512278295,102002.34043792452,69613.10832120263,108962.10541484544,79865.90314469374,126949.73314280552,59999.26264295459,49386.33031366199,87009.64174474117,50386.49409434351,67274.61556746397,112593.41067778369,72378.69095849017,60690.789025241866,51557.96578374893,51732.24863367869,40221.59764956178,96235.6115666284,40540.912655289496,100942.26546375413,111022.7001165698,45300.71445082216,94542.69933204608,46299.13567517494,42622.50932601344,44489.94810019167,,55107.17711532539,74401.75075646536,28848.85889697013,108688.01105183914,82874.46808959788,63042.24763662935,87563.41356262694,,86545.59218,52207.31913363022,,87568.07586837934,93517.22816749424,70416.78419,
10/31/2000,107724.29220806116,60782.63320710936,57554.70673433446,74793.62254112163,52301.47836292734,66705.87032279011,53375.80074760982,64149.46445626073,67964.43845830078,61701.35281491463,102951.65660227952,70043.15663,109380.75872075467,80308.47192621125,128709.94135369902,60223.39526251986,49637.09998099824,87449.57424006432,50780.19214911928,67707.80520809176,113799.23282157298,73483.48908860104,61024.95931956352,51739.45815368556,52020.28873552552,40412.53724565049,96573.06923350012,40692.701177011215,101823.99815016576,111387.5592154134,45549.61587297847,94973.52011081012,46511.67872531043,42835.47205011018,44649.49011902957,,55262.114613406615,74615.71433,29026.94230445709,109480.69485889464,83948.01316683055,63539.86740493312,88281.48573341977,,86958.64781550138,52291.450246009445,,87570.36204541335,93898.72497426148,70921.08347821358,
11/30/2000,108952.86129422256,60952.37790524282,57931.75689148701,75280.12493579749,52555.65825842498,67244.51811686737,53639.74370907863,64599.04620363596,68290.74662285742,62202.07633490231,103788.04525229995,70489.92772,109780.43711727948,80724.7644,130387.06497338916,60474.40523869978,49951.56213734672,87896.04612543432,51220.55923623524,68121.98440702596,114957.4550243132,74431.24775820498,61335.241450875146,51957.25001400359,52355.924746262055,40613.27771183429,96918.38181741482,40860.56080729175,102698.07455574896,111821.10036862218,45794.984105343705,95461.85025709298,46785.28414648506,43052.14769249904,44822.60672185829,,55435.96278232185,74815.60373211063,29236.7156598842,110017.5212984149,84998.65192,64096.61614689857,88989.96220482195,,87451.27838106958,52417.810515340185,,87624.85486055799,94207.96022,71469.54732138808,
12/31/2000,110144.46867737162,61154.83658478147,58315.101248832594,75814.65576938124,52814.19419702562,67656.08804702366,53894.89970039338,65085.13903220542,68627.18000003452,62704.73364020904,104520.67490358236,70962.41815546862,110247.58696682374,81121.91524802752,132025.51073011453,60756.14086891889,50311.10263988649,88387.17562511459,51632.10674720197,68508.61273707084,116077.54252462403,75405.45167753777,61598.27043351203,52203.63353386713,52693.55919258497,40832.26622081737,97304.15140214365,41065.52621,103489.25469654887,112255.1469186716,46045.34117858082,95935.58186,47100.16999430335,43346.574433625006,45020.92906184926,,55622.11705,75039.04426621237,29487.40630492831,110443.1555640896,86052.40899,64724.48055416009,89776.15917214665,,87918.80722,52516.11709256548,,87767.07634,94444.98335373172,72032.04031869832,
1/31/2001,111171.22841443463,61283.61019165844,58663.13572472275,76330.18482982276,53075.99519544988,67903.85263727068,54130.86577002308,65572.83282967331,68979.09107841842,63160.88738250415,105206.82183304871,71438.25301245156,110721.82856348473,81520.95817916359,133529.68998395992,61072.85022439921,50592.61229531696,88812.36579001375,51923.02903,68842.88938490457,117225.61434695184,76274.43150261686,61903.30456092896,52492.35405713421,53059.67957325018,41078.41026872984,97715.46329828896,41282.42370387672,104175.26496006944,112666.05557665289,46226.61025104512,96418.15751411526,47463.209096864,43626.76890809008,45293.23711658005,,55866.44034693416,75339.24255934516,29781.656268284885,110739.08752471006,87021.53664119089,65496.67305063226,90542.12890384124,,88447.75439765841,52690.76046192221,,88626.37466030566,94886.7536795712,72549.50200779237,
2/28/2001,112156.27962980817,61269.21769877508,59008.27850889211,76753.61679750694,53307.748205035256,68184.90197451493,54312.583363433485,65967.98793722899,69228.72632006893,63501.638377502975,105982.24564670026,71854.87201258482,111171.79327587794,81929.97677381615,134946.90275788447,61307.876682702416,50696.75988322697,89192.60250832477,52113.49354,69142.80706560322,118315.2325389982,77030.88837176425,62171.28329093342,52728.04092088526,53365.95570032899,41294.39671871963,98075.62577233044,41492.04053855735,104768.8507909433,112924.09359315764,46380.889353038736,96922.26586,47707.22497326482,43788.4413014192,45599.08911,,56062.52231891892,75617.83931664993,29964.79670755923,111014.98191321518,88069.57610465726,66222.58517532347,91264.25859,,88894.49629784642,52939.84015585325,,90090.66504294556,95384.00748978948,73104.23430641521,
3/31/2001,113256.74956005649,61153.40692322425,59371.23988342968,77118.56781077867,53529.13931790062,68496.74418668852,54473.58441077869,66295.38568087504,69422.66169202856,63792.21677,106763.82134617509,72290.93429746792,111562.79595485287,82341.69291992759,136361.75497157287,61491.59453604941,50717.04796968604,89499.24200477781,52311.47758616891,69431.32765372895,119407.02092648068,77758.75667562429,62449.25898314751,52925.10431,53645.65283285101,41484.42114836187,98432.19328,41667.15019528886,105430.70684682151,113100.9561346588,46488.910848407446,97452.95418759684,47888.181506624416,43915.49250863282,45924.427506971406,,56128.68848714596,75947.92895483943,30104.169563967745,111222.40374984464,89080.37307745614,66866.61602947232,92020.30329985775,,89357.53799555311,53305.04941034552,,92164.22201344914,96111.09020972454,73652.95739,
4/30/2001,114623.58192549148,61090.12551,59801.97058426123,77488.30349744332,53760.29282046648,68812.13121648983,54633.15388501121,66588.19303077918,69561.69465474151,64063.60541698244,107581.97412362932,72754.95595223778,111955.14926692672,82752.93441221194,137806.81374551234,61631.21167751181,50731.20844,89907.61875807174,52571.69104876034,69755.81799485054,120459.13521991383,78561.64567874091,62665.67232478163,53075.67638193216,53879.96163169205,41658.27143601604,98742.46734,41839.97815416363,106199.18275952392,113273.06359666004,46625.42495299856,97984.06515,48020.32734170038,44006.515601599705,46210.72778670435,,56161.323109013225,76261.42550555446,30190.939207371684,111537.07871930856,90124.00193633162,67364.62264,92911.19183910987,,89793.76757430019,53645.04964224736,,94054.88321494636,97170.13134915572,74212.16269700373,
5/31/2001,116032.14117119087,61125.50392043544,60268.09171484388,77925.60631900803,53988.38837342381,69200.77909589307,54814.934229685496,66933.66769751388,69732.85976914201,64399.49595703441,108385.19461123274,73254.91835586326,112309.6925872034,83162.52475338052,139312.88991836857,61804.6158839096,50827.37948428909,90368.78728538414,52885.15905396811,70090.82409885833,121523.06040989253,79393.43720844122,62906.12593357125,53237.6733,54104.79288,41855.207876435285,99073.24767862124,41994.364043580754,107042.79922762616,113417.99031459577,46799.62486633152,98552.88699971446,48225.25437474701,44168.72302474052,46508.94623,,56279.56332,76575.17825459385,30352.32569319878,112030.13415261994,91243.62828,67951.80944888691,93861.35596200485,,90260.12088036968,54000.53978637148,,95800.01247172008,98366.50083069997,74715.69682958933,
6/30/2001,117370.45365823733,61202.42764899381,60742.95543063916,78422.47606075379,54232.03139105986,69618.29034605458,55006.38345158817,67283.43690018593,69908.97033,64735.919330796656,109274.7544053264,73729.46377619584,112692.73640365756,83575.82957993374,140869.1459187638,61980.90902895587,50942.401546107685,90940.67121104618,53229.78935593811,70452.78711191688,122495.72663802218,80249.30387033122,63159.200558158765,53404.98659205573,54322.514242827536,42077.728140192005,99409.88244826812,42155.01603583051,107876.8914302658,113597.16131570922,47011.65255520336,99103.02791,48450.66503962001,44332.66792457546,46796.81526578745,,56481.49204239447,76807.70189697892,30518.772714647395,112637.86668955024,92418.79804005734,68600.35724130801,94914.5669540082,,90744.00844109996,54146.99817830501,,97266.30020247184,99570.80864373676,75206.97014011188,
7/31/2001,118662.19954893956,61283.27805388765,61246.122286119215,78957.36629727132,54502.24482708832,70069.63629,55221.38550907921,67635.16807224206,70081.13823686214,65082.7337,110244.5641,74230.14865,113061.2986878766,83974.59712,142521.06974676988,62148.38532877262,51061.085922929145,91558.34698939894,53583.81001099133,70854.97119806794,123454.5304328931,81125.95527110074,63458.15594016786,53597.60744793119,54544.43916712088,42307.74368930229,99796.1966,42303.18901731036,108688.60399293588,113754.68498205097,47215.672346463536,99677.98819626926,48697.07308299429,44485.80552353609,47048.954578327575,,56665.49828206195,77054.53330656716,30682.66552522502,113320.10712958728,93589.12968469282,69342.67916399392,96071.03174982434,,91213.25789142917,54261.31353,,98686.20900251174,100764.4503670617,75714.40791306116,
